Заголовок,Время публикации,Описание,Ссылка
В Telegram появятся платные сообщения: что известно,1 день назад,"В мессенджере Telegram появятся платные сообщения. Такую функцию, по словам пользователей, сейчас тестируют разработчики. Каксообщаетканал Telegram Info, возможность ограничивать отправление бесплатных сообщений появится как у пользователей в личных переписках, так и у владельцев групп для чатов. Опция не обязательная — ее можно включать по своему усмотрению. В случае, если ограничения введены, пользователям придется платить внутренней валютой в виде «Звезд». Отмечается, что средства будут получать администраторы групп или сами люди, а не Telegram. Пока что точных подробностей о том, как это будет устроено, нет. Известно, что настройки платных сообщений смогут отличаться для разных типов чатов. Пока что функция доступна лишь части пользователей. Она разрешена на тестовом сервере мессенджера. Неизвестно, когда такую возможность добавят в официальную версию Telegram. Это не единственные изменения, связанные с популярным сервисом. Ранее в сети появились подробности о новой функции. Пользователи смогутдобавлятьучастников в активные личные звонки. Сейчас групповой вызов возможен только в чатах и каналах. В будущем Telegram позволит оперативно подключать друзей или коллег к любому разговору. Помимо этого, разработчики улучшили работу с видео. Они значительно прокачали встроенный в мессенджер плеер. Теперь приложение автоматически запоминает момент, на котором пользователь закончил просмотр роликов, чтобы затем его возобновить. Также пользователям разрешили делиться ссылками на определенные фрагменты видео. Подробнее об изменениях можно прочитатьздесь. В Telegram также прислушались к многочисленным жалобам, связанным с перегревом смартфонов. Они начали поступать после очередного обновления мобильной версии мессенджера. Температура была настолько высокой, что некоторым пользователям было сложно держать устройства в руках. Ситуация негативно сказывалась и на работе девайсов. Повышенная температура быстрее разряжала батарею. В новом апдейте разработчикиустранилинеприятные баги.",https://hi-tech.mail.ru/news/123321-v-telegram-poyavyatsya-platnye-soobsheniya-chto-izvestno/
MacroDock 10 в 1: представлен новый мультитул для ПK,1 день назад,"Гонконгский стартап MacroDockпредставилновый мультитул для ПК MacroDock M1 10 в 1. Это док-станция, сочетающая в себе концентратор USB-C с макро-клавиатурой LCD, видеовыходом 8K и достаточным количеством портов, чтобы очистить даже самое перегруженное рабочее пространство. Гаджет предназначен для опытных пользователей, использующих для работы несколько экранов и периферийных устройств с требовательным ПО. Внутри контроллер с ЖК-дисплеем, оснащенный 36 уникальными командами и двумя сотнями встроенных плагинов. MacroDock M1 выполняет сразу несколько функций одновременно. С одной стороны, это полностью укомплектованная док-станция с выходом HDMI 8K 30 Гц, быстрой зарядкой PD 100 Вт, скоростью USB 10 Гбит/с, устройством чтения карт SD/TF, Ethernet 2,5 Гбит/с и аудиоразъемом 3,5 мм. С другой стороны, это мощный инструмент автоматизации, оснащенный шестью настраиваемыми ЖК-клавишами макросов и тремя тактильными поворотными ручками, которые могут запускать что угодно, от ярлыков программного обеспечения до смены сцен OBS. Пользователи могут программировать 36 макроклавиш ЖК-дисплея с функциями, адаптированными к их рабочему процессу — будь то запуск приложений, автоматизация задач редактирования, переключение потоковых сцен или выполнение сложных команд одним нажатием. ПО док-станции поддерживает интеграцию с такими популярными инструментами, как OBS Studio, Adobe Creative Suite, DaVinci Resolve, и с приложениями для повышения производительности - Notion и Zoom. Настройка с помощью перетаскивания делает настройку интуитивно понятной. Три вращающихся ручки добавляют еще один уровень тактильного контроля. С их помощью можно прокручивать временную шкалу видео, настраивать размер кистей в Photoshop или переключаться между фрагментами кода. Помимо макроконтроля, MacroDock M1 предлагает уровень многопортового подключения. Выход HDMI 8K — это большое преимущество для тех, кто работает с мониторами высокого разрешения или многоэкранными установками, обеспечивая четкие визуальные эффекты при 30 Гц или 4K при 120 Гц. Быстрая зарядка PD мощностью 100 Вт позволяет использовать энергоемкие ноутбуки без дополнительных адаптеров, а порты USB на 10 Гбит/с обеспечивают быструю передачу файлов, независимо от того, выгружаете ли вы отснятый материал 4K или синхронизируете огромные папки проектов. Порт Ethernet 2,5 Гбит/с — огромный плюс для стримеров, удаленных работников и всех, кто устал от ненадежного Wi-Fi. MacroDock M1 легко интегрируется между устройствами Windows и macOS. Управление макросами работает на настольных компьютерах и ноутбуках, а функции док-станции распространяются на планшеты, смартфоны и даже телевизоры. Стартовая стоимость MacroDock M1 — 119 долларов США. Производитель начнет отправлять устройства по всему миру с мая 2025 года. Читайте также нашустатьюо новой портативной консоли Sunday Dragon с технологией 3D, недавно представленной Intel.",https://hi-tech.mail.ru/news/123320-macrodock-10-v-1-predstavlen-novyj-multitul-dlya-pk/
Ростех создаст систему бронирования авиабилетов «Леонардо» в Латинской Америке,1 день назад,"Центр по внедрению системы бронирования авиабилетов «Леонардо», развитием которого занимается резидент Ростеха — компания «РТ-Проектные технологии»,появитсяв странах Латинской Америки. Его построят на базе венесуэльской авиакомпании Conviasa S.A., уже использующей российскую систему обслуживания пассажиров (Passenger Service System, PSS). Отечественная система «Леонардо» — это набор решений, построенных по стандартам Международной ассоциации воздушного транспорта, который автоматизирует рутинные процессы для авиакомпаний. Первой страной Латинской Америки, внедрившей PSS в апреле 2023 года, стала Венесуэла. Стартовый эксплуатант «Леонардо» в Латинской Америке — венесуэльский авиаперевозчик Conviasa S.A. постепенно расширяет внедрение российской технологии. Компания уже около трех месяцев регистрирует пассажиров, вылетающих по маршрутам: «Каракас — Москва» и «Каракас — Гавана», в системе регистрации Astra DCS, также развиваемой при участии «РТ-Проектные технологии». Напомним, что системой «Леонардо» пользуется абсолютное большинство российских авиакомпаний (более 60 перевозчиков). Кроме Латинской Америки, отечественную систему бронирования авиабилетов, Ростех планирует поставить в страны-партнеры Юго-Восточной Азии и Ближнего Востока. По словам руководителей «РТ-Проектные технологии», функциональность системы постоянно расширяется. В прошлом году была внедрена возможность перекрестной оплаты билетов милями разных авиакомпаний, а с недавнего пор стала доступна опция покупки билетов на самолет до окончания регистрации на рейс. Читайте также нашустатьюо новом мини-приложении в Telegram для покупки авиабилетов от компании S7 Airlines.",https://hi-tech.mail.ru/news/123319-rosteh-sozdast-sistemu-bronirovaniya-aviabiletov-leonardo-v-latinskoj-amerike/
Представлен камерофон Xiaomi 15 Ultra: объектив на 200-мегапикселей и Snapdragon 8 Elite,1 день назад,"Сегодня в Китае прошла официальная презентация камерофона от компании Xiaomi — модели 15 Ultra. Новинка получила топовый объектив на четыре сенсора от Leica и достойную техническую часть, что ставит ее в один ряд с флагманами других брендов: iPhone 16 Pro Max, Samsung Galaxy S25 Ultra и Huawei Pura70 Pro+. При этом цена смартфона, вопреки ожиданиям, практически не выросла по сравнению с прошлым поколением. Изюминка Xiaomi 15 Ultra в его камерах. Основной блок делят сразу 4 сенсора: Summilux на 50 Мп, сверхширокоугольный Samsung JN5 на 50 Мп, телеобъектив Sony IMX858 на 50 Мп и, самое интересное, перископный модуль Samsung ISOCELL HP9 на 200 Мп. При этом смартфон имеет автофокусировку, поддерживает «зум без потери качества» и может записывать видео в 4K при 60/120 FPS. И да, есть еще фронтальная камера на 32 Мп. По словам представителей Xiaomi, модель 15 Ultra даже лучше iPhone 16 Pro Max с точки зрения качества картинки. По крайней мере, зум нового камерофона лучше передает детали и цвета. При этом его можно синхронизировать с iPhone, Mac и iPad для передачи данных. В основе аппаратной платформы Xiaomi 15 Ultra стоят флагманский процессор Snapdragon 8 Elite, оперативная память LPDDR5X на 12 или 16 ГБ, а также 256/512/1024 ГБ хранилища UFS 4.0. Батарея емкостью 6000 мАч поддерживает беспроводную зарядку на 80 Вт и быструю на 90 Вт. Дисплей получил диагональ 6,73 дюйма, разрешение 3200×1440 пикселей, частоту 120 Гц и пиковую яркость 3200 нит. Также компания Xiaomi представила аксессуар специально для 15 Ultra, который превращает смартфон в настоящий фотоаппарат. Он защищен по стандарту IP54 и имеет батарею на 2000 мАч, а его единственная функция — в кнопке спуска затвора. На данный момент представлена китайская версия смартфона — глобальную Xiaomi покажет в марте этого года. Тогда же появится информация о примерных сроках выхода. Сегодня в Россииначалисьпродажи топовых смартфонов компании Huawei — тройного складного Mate XT Ultimate и флагмана Mate 70 Pro. Рассказываем о главных фишках новинок и ценах в рублях.",https://hi-tech.mail.ru/news/123318-predstavlen-kamerofon-xiaomi-15-ultra/
Фотография дня: в сети завирусилась китайская «Гора Щенков»,1 день назад,"В Китае случайнонашлиуникальный природный объект — скалу на берегу реки Янцзы, которая с определенного ракурса напоминает собачью голову, лежащую мордой к воде. Дизайнер из Шанхая опубликовал фотографию в социальных сетях и всего за 10 дней набрал более 120 000 лайков, а теперь хэштег #xiaogoushan, в переводе буквально «гора щенков», собирает миллионы просмотров на медиаплатформе Weibo. Неожиданно локация стала притягивать путешественников со всего Китая вместе с четвероногими питомцами. Владельцы собак начали сравнивать фотографии животных, чтобы определить, кто из них больше похож на гору, а также выкладывать свои снимки с местной смотровой площадки. Так оказалось, что некоторые пользователи уже замечали уникальный природный объект в прошлые года и даже делали на его фоне фото. А вы знали, что недавно ученыераскрылизагадку «черной дыры» в Тихом океане? Странное и даже пугающее изображение из сети, которое многие пользователи нарекли гигантской воронкой и скрытым военным объектом, оказалось самым обычным островом под названием «Восток».",https://hi-tech.mail.ru/news/123310-fotografiya-dnya-v-seti-zavirusilas-kitajskaya-gora-shenkov/
Как кот Шредингера может помочь улучшить квантовые компьютеры — что узнали ученые,1 день назад,"Квантовые компьютеры становятся все мощнее, но их слабое место — ошибки, возникающие в процессе вычислений. Ученые нашли способ сократить число таких оплошностей, вдохновившись знаменитым мысленным экспериментом с котом Шредингера. Они используют особые «кошачьи кубиты», которые помогают сделать квантовые расчеты более достоверными и требуют меньше дополнительных компонентов. Классические компьютеры хранят информацию в виде нулей и единиц, но квантовые кубиты могут находиться в суперпозиции сразу двух состояний. Именно они позволяют компьютерам считать качественнее и быстрее, но вместе с тем делают их уязвимее к внешним помехам. Чтобы исправить ошибки, обычно требуется много дополнительных кубитов, что усложняет всю систему. Новый метод, предложенный исследователями, использует «кошачьи кубиты», которые сами по себе менее подвержены ошибкам. Такие кубиты названы так потому, что ведут себя как знаменитый кот Шредингера, который в эксперименте одновременно и жив, и мертв. Мысленный опыт, предложенный австрийским физиком Эрвином Шредингером в 1935 году, чтобы проиллюстрировать парадокс квантовой механики и проблему интерпретации состояния квантовых объектов сегодня обрел особенную известность. В этом эксперименте кот помещается в закрытую коробку вместе с радиоактивным атомом, который с вероятностью 50% распадется в течение часа, и механизмом, который убивает животное в случае запуска реакции. Согласно принципам квантовой механики, пока бокс закрыт, кот находится в суперпозиции состояний — одновременно жив и мертв — до тех пор, пока не будет произведено измерение, которое «разрушит» эту суперпозицию и определит состояние кота. Этот эксперимент подчеркивает странные и контринтуитивные аспекты квантовой реальности. Проводя аналогию, кубиты сохраняют одно из состояний дольше, а другой тип ошибок компенсируется специальными алгоритмами. Такое их свойство позволяет сильно сократить количество вспомогательных элементов, призванных скорректировать неисправности. В недавнем эксперименте ученыесмогли снизитьчастоту ошибок на 1,65% вместо стандартных 1,75%. Это кажется небольшим улучшением, но в квантовых вычислениях даже такие малые изменения значимы. Использование этих кубитов может помочь создать более устойчивые квантовые системы, которые в будущем смогут решать сложные задачи в миллионы раз быстрее, чем любые современные компьютеры. Метод пока требует доработок, но уже видится многими как перспективный. Исследователи надеются, что со временем на базе этой технологии они смогут создать самые мощные и надежные квантовые компьютеры и совершить революцию в науке, медицине и искусственном интеллекте. Ранее мыписалио том, как ученые открыли новое квантовое состояние материи.",https://hi-tech.mail.ru/news/123317-kak-kot-shredingera-mozhet-pomoch-uluchshit-kvantovye-kompyutery-chto-uznali-uchenye/
«Бульдозеры» эволюции: как ледники ускорили развитие жизни на Земле,1 день назад,"Новое исследование Университета Кертина показало, что огромные древние ледники неопротерозоя действовали как гигантские бульдозеры, изменяя поверхность Земли и прокладывая путь для развития сложных форм жизни.Исследование под дословным названием «Неопротерозойская ледниковая метла»опубликованов журнале «Геология». Химически проанализировав кристаллы в древних осадочных породах, исследователи обнаружили, что ледники, прорезая ландшафт, углублялись в земную кору, высвобождая ключевые минералы, которые постепенно меняли химический состав океана.Этот процесс создал условия, которые позволили развиваться все более сложной многоклеточной жизни. Период, именуемый Криогением, начался примерно 720 миллионов лет назад и длился 85 миллионов лет. Это было самое масштабное оледенение на нашей планете, по сравнению с которым последний ледниковый период можно считать легким заморозком.Ледяные щиты Криогения достигали экватора. Ученые называют тогдашнюю планетуSnowballEarth, «Земля-снежок». Ведущий автор исследования профессор Крис Киркленд, изучающий этапы развития земных минеральных систем в Институте Кертина, подчеркнул непреходящую тесную взаимосвязь геологических и климатических процессов и биосферы нашей планеты. Когда гигантские ледяные щиты начали таять, начались масштабные наводнения, которые смывали минеральные соединения и простые вещества, в том числе уран, в океаны. Этот приток элементов, как стабильных, так и радиоактивных, изменил химический состав и вызвал мутации и эволюционные изменения в популяциях его одноклеточных обитателей. Жизнь усложнилась, появились первые многоклеточные организмы. По мнению профессора Киркленда, исследование должно стать ярким напоминанием о том, что, хотя сама Земля будет существовать еще очень долго, условия, которые делают ее пригодной для жизни, могут быстро и кардинально измениться. Понимание событий далекого прошлого может помочь лучше прогнозировать влияние изменения климата на судьбу обитателей планеты Земля. Посмотрите, каквыгляделиэмбрионы первых многоклеточных организмов, терпеливо пролежавшие в известковом инкубаторе 538 миллионов лет, прежде чем попасть под микроскоп палеонтологов.",https://hi-tech.mail.ru/news/123306-buldozery-evolyucii-kak-ledniki-uskorili-razvitie-zhizni-na-zemle/
VK запускает новую программу лояльности для бизнеса,1 день назад,"Бонусы будут начисляться в рекламный кабинет ежемесячно, если реальные траты за прошлый месяц составили более 500 рублей (без учета НДС). Размер возврата для активных рекламодателей будет расти, в зависимости от срока и регулярности размещения рекламы. Стандартный уровень — 5%, получат бизнесыпри расходах более 500 рублей, без учета НДС,за прошлый месяц. Повышенный бонус, в размере 7% — если запускали рекламу 4 и более месяцев подряд. Максимальный бонус 10% — если запускали рекламу 7 и более месяцев подряд. «Запуск рекламной кампании, в особенности для малого и среднего бизнеса, это отчасти эксперимент требующий тестирования различных подходов и анализа. Новая программа лояльности позволяет упростить эту задачу. За счет бонусных рублей можно не только масштабировать рекламную кампанию, но и проверять различные гипотезы и рекламные инструменты, экономя собственные денежные средства», — комментируетдиректор по развитию и продажам СМБ VK Максим Иконников. Программа лояльности доступна прямым рекламодателям-представителям СМБ, зарегистрированных в Едином реестре субъектов малого и среднего предпринимательства, у которых открыт рублевый счет в VK Рекламе. Пользователям будет доступен возврат от 25 рублей до 20 тыс. рублей в месяц в зависимости от трат. НДС с суммы возврата взиматься не будет. Использовать бонусы возможно в течение 60 дней после получения их на счет в рекламном кабинете. Для всех новых клиентов VK Рекламы, которые являются прямыми рекламодателями, действует приветственный бонус — удвоение первичного пополнения рекламного кабинета на сумму до 10 тыс. рублей.",https://hi-tech.mail.ru/news/123304-vk-zapuskaet-novuyu-programmu/
В России стартовали продажи складного Huawei Mate XT Ultimate и флагмана Huawei Mate 70 Pro,1 день назад,"На прошлой неделе в России открылись предварительные заказы на топовые смартфоны Huawei, а теперь складной Mate XT Ultimate и флагман Mate 70 Pro уже можно приобрести у ритейлеров: в магазинах МТС и «М.Видео-Эльдорадо». При этом при покупке Mate 70 Pro в период с 27 февраля по 24 марта в подарок идут смарт-часы Watch GT 5 с обилием функций для тренировок, защитой от воды и недельным временем работы на одном заряде. Флагманский смартфон Huawei получил все передовые фишки компании: ударопрочный корпус из композитного стекловолокна, камеру XMAGE для ультрареалистичной съемки, мощную батарею с кремниевым анодом емкостью 5500 мАч, быструю и беспроводную зарядку, а также возможности искусственного интеллекта. Последние скрывают уведомления от чужих глаз, добавляют функцию живых фотографий, накладывают шумоподавление во время звонков и многое другое. Первый в мире тройной складной смартфон может похвастаться диагональю дисплея в 10,2 дюйма и удивительной толщиной всего в 3,6 мм в разложенном виде. При этом устройство поддерживает 3 формата работы, которые отличаются разными сценариями и возможностями. И еще одна фишка Mate XT Ultimate в орбитальном кольце, обрамляющем блок камеры. Оно создается в результате 78 процессов обработки металла, из-за чего имеет неповторимый узор. Недавно мы, редакция Hi-Tech Mail, подготовили максимально подробный обзор на флагман Huawei Mate 70 Pro ирассказалиобо всех его функциях: от сверхпрочного стекла Kunlun 2-го поколения до редкого 3D-сканера лица. А также по достоинству оценили мощный козырь смартфонов Huawei — фото и видеосъемку.",https://hi-tech.mail.ru/news/123305-v-rossii-prodazhi-huawei-mate-xt-ultimate-i-mate-70-pro/
Новый пружинный робот прыгает в 23 раза дальше своей длины,1 день назад,"Ученые из Гарвардского институтасоздалинебольшого, гибкого робота, способного быстро передвигаться и прыгать как кузнечик. Устройство основано на технологии под названием Harvard Ambulatory Microrobot (HAMR), разработанной командой ранее для роботаракана. Обновленный микробот теперь оснащен роботизированной вилкой, раздвоенным, похожим на хвост придатком, позволяющим ему прыгать, за счет быстрого удара вилки о землю. Робот накапливает потенциальную энергию внутри вилки с помощью пружины с защелкой. Эта энергия действует как катапульта, запуская устройство в воздух за миллисекунды. Такую технику можно увидеть в природе: при сильном ударе креветки-богомола или при щелканье языка хамелеона. Легкий, размером с ладонь, микробот способен ходить, прыгать, лазать, наносить удары и даже подбирать предметы.Это один из самых сильных прыгунов такого размера среди современных роботов. Максимальная высота прыжка составляет 1,4 метра, что в 23 раза превышает длину его тела. Чтобы оптимизировать ориентацию робота в пространстве и настроить тяги для точной посадки, в процессе проектирования использовалось детальное компьютерное моделирование. Команда ученых утверждает, что робот за счет своего особого сочетания прыгучести и легкой конструкции открывает новые возможности для навигации в средах, которые недоступны или опасны для людей. Читайте также нашустатьюо том, как китайского робота Yushu G1 обучили новым приемам кунг-фу.",https://hi-tech.mail.ru/news/123303-novyj-pruzhinnyj-robot-prygaet-v-23-raza-dalshe-svoej-dliny/
Российские химики создали новый материал для зеленой энергетики,1 день назад,"Ученые из МГУ имени М. В. Ломоносова совместно с индийскими коллегами создали новый гибридный композитный материал, предназначенный для электрокатализа кислорода. Этот процесс играет ключевую роль в работе топливных элементов, которые применяют в экологически чистой энергетике. О достижении химиковнаписанона сайте учебного заведения. Созданный композит обладает бифункциональностью, обеспечивая выполнение как реакции восстановления кислорода, так и процесса кислородного переноса, отмечает Татьяна Дубинина, ведущий научный сотрудник лаборатории биоэлементоорганической химии химического факультета МГУ. Она подчеркнула, что по ряду характеристик новый материал сравним с аналогичными изделиями, изготовленными с использованием драгоценных металлов, а в некоторых аспектах даже превосходит их, будучи при этом значительно более доступным по стоимости. «Это только первая работа в предстоящем цикле, но по ее итогам нам уже удалось получить композитный материал для электрокатализа, не уступающий по характеристикам более дорогим аналогам на основе благородных металлов», — комментирует эксперт. Авторы исследования заявили, что планируют изучить, какие изменения произойдут при замене кобальта на другие металлы или использовании альтернативных тетрапиррольных лигандов. Они выразили надежду, что полученные результаты откроют путь к промышленному производству современных и относительно доступных регенеративных топливных элементов и металл-воздушных батарей. По данным источника, создание регенеративных топливных элементов — важное направление в развитии зеленой энергетики. У них есть несколько преимуществ, включая сочетание углеродной нейтральности с высокой выходной мощностью. Работа таких топливных элементов и металл-воздушных батарей базируется на реакции катодного восстановления кислорода, обеспечиваемой электролизерами. Тем временем зарубежные ученые разработали рецепт переработки литий-ионных аккумуляторов с использованием растительного масла. Подробнее об этом написано вдругом материале Hi-Tech Mail.",https://hi-tech.mail.ru/news/123302-rossijskie-himiki-sozdali-novyj-material-dlya-zelenoj-energetiki/
Как экстремальная жара влияет на старение: ответ ученых,1 день назад,"Экстремально высокая температура представляет особую опасность для пожилых людей, подвергая их повышенному риску теплового удара и смерти. Новое исследование выявило еще одну возможную угрозу: влияние жары на ДНК, и ускорение процесса старения. ПоданнымThe New York Times, ученые Университета Южной Калифорнии проанализировали медицинские сведения более 3600 пожилых американцев и обнаружили, что жители регионов, где температура превышает 32 ℃ хотя бы 140 дней в год, демонстрируют признаки более быстрого старения на клеточном уровне по сравнению с теми, кто проживает в областях с меньшим количеством жарких дней. Результаты указывают на то, что климатические изменения и регулярные волны тепла способны вызывать химические модификации ДНК, что ускоряет биологические процессы старения. Согласно оценкам авторов работы, проживание в зоне с температурой свыше 32 ℃ в течение значительного периода года может привести к ускорению старения организма на целых 14 месяцев по сравнению с людьми, проживающими в регионах с более мягким климатом. В рамках исследования специалисты регулярно брали образцы крови у участников эксперимента и наблюдали за изменениями в эпигенетических маркерах их клеток. Эти маркеры представляют собой короткие молекулы, которые прикрепляются к «обертке» ДНК и влияют на активность генов, либо усиливая, либо подавляя их работу. С возрастом концентрация и распределение таких меток меняется, что позволяет ученым оценивать биологический возраст клеток. Средний показатель биологического возраста жителей наиболее жарких районов США оказался на 1,5-2,5 года выше, чем у их сверстников из более прохладных регионов. Примечательно, что первые изменения в темпах старения могли начаться уже спустя неделю или несколько месяцев после воздействия аномальной жары. Точные причины ускорения старения пока остаются неясными, но ученые полагают, что они могут быть связаны с негативными изменениями в структуре эпигенома, вызванными адаптацией организма к высоким температурам. Специалисты рассчитывают, что дальнейшие наблюдения и эксперименты на животных позволят пролить свет на эту загадку. Ранее ученые изобрели «инъекцию молодости» для аккумуляторов. Подробнее об этом рассказали вдругом материале Hi-Tech Mail.",https://hi-tech.mail.ru/news/123301-ekstremalnaya-zhara-vliyaet-na-starenie-organizma-chto-uznali-uchenye/
